school_id,school_name,postcode,borough,school_type
145364,Nelson Primary School,E6 2SE,Newham,Primary
145365,Scott Wilkie Primary School,E16 3HD,Newham,Primary
145366,Vicarage Primary School,E6 6AD,Newham,Primary
145367,New City Primary School,E13 9NE,Newham,Primary
145368,Gallions Primary School,E6 6WG,Newham,Primary
145410,Royal Docks Academy,E16 3HS,Newham,Secondary
145609,Lubavitch House School (Senior Girls),N16 5RP,Hackney,Secondary
145610,Lubavitch Girls Primary School,N16 5RP,Hackney,Primary
145614,"Christ Church, Streatham Church of England Primary School",SW2 3NF,Lambeth,Primary
145615,St Leonard's Church of England Primary School,SW16 6NP,Lambeth,Primary
145616,St Luke's Church of England Primary School,SE27 0DZ,Lambeth,Primary
145621,St George's CofE Primary School,SE23 2NE,Lewisham,Primary
145627,Shaftesbury Primary School,E7 8PF,Newham,Primary
145730,Lubavitch Boys' Primary School,E5 9AE,Hackney,Primary
145731,Hungerford School,N7 9LF,Islington,Primary
145888,John Keats Primary School,SE16 3FN,Southwark,Primary
146100,Turnham Academy,SE4 2HH,Lewisham,Primary
146117,Surrey Square Primary School,SE17 2JY,Southwark,Primary
146191,Franciscan Primary School,SW17 8HQ,Wandsworth,Primary
146214,ARK John Archer Primary Academy,SW11 2AA,Wandsworth,Primary
146221,Childeric Primary School,SE14 6DG,Lewisham,Primary
146368,Van Gogh Primary,SW9 6HF,Lambeth,Primary
146669,St Paul's Church of England Primary School,SE17 3DT,Southwark,Primary
146915,North Beckton Primary School,E6 5XG,Newham,Primary
147073,Haberdashers' Borough Academy,SE1 0EX,Southwark,Secondary
147327,Ravenstone Primary School,SW12 9SS,Wandsworth,Primary
147335,St Edward's Catholic Primary School,E13 9AX,Newham,Primary
147336,St Francis' Catholic Primary School,E15 1HD,Newham,Primary
147355,Haberdashers' Hatcham Primary,SE14 5RD,Lewisham,Primary
147363,Haberdashers' Knights Primary,BR1 5LW,Lewisham,Primary
147543,Harris Academy Clapham,SW4 8LD,Lambeth,Secondary
147653,Waterside Academy,E8 4DL,Hackney,Secondary
148003,Sedgehill Academy,SE6 3QW,Lewisham,Secondary
148012,Charles Dickens Primary School,SE1 1AF,Southwark,Primary
148025,St Antony's Catholic Primary School,E7 9PN,Newham,Primary
148224,Eastlea Community School,E16 4NP,Newham,Secondary
148438,St Joseph's Catholic Primary School,SW3 2QT,Kensington and Chelsea,Primary
148574,Lyndhurst Primary School,SE5 8SN,Southwark,Primary
148623,School 360,E15 2QS,Newham,Primary
148681,Cyril Jackson Primary School,E14 8AQ,Tower Hamlets,Primary
148769,Mulberry Canon Barnett Primary Academy,E1 7RQ,Tower Hamlets,Primary
148901,Rokeby School,E16 4DD,Newham,Secondary
148902,Lister Community School,E13 9AE,Newham,Secondary
148972,St Winefride's RC Primary School,E12 6HB,Newham,Primary
149084,Mulberry Wood Wharf Primary School,E14 9ZR,Tower Hamlets,Primary
149346,St Joseph's Catholic Primary School,SE16 4UP,Southwark,Primary
149369,Notre Dame Catholic Girls' School,SE1 6EX,Southwark,Secondary
149431,Harris Science Academy East London,E3 3DU,Newham,Secondary
149488,St Joseph's RC Primary School,W9 1DF,Westminster,Primary
149543,Ernest Bevin Academy,SW17 7DF,Wandsworth,Secondary
149556,Streatham Wells Primary,SW2 3NJ,Lambeth,Primary
149604,Grove Primary School,SE22 8AB,Southwark,Primary
149605,Rotherhithe Primary School,SE16 2PE,Southwark,Primary
149632,Holland Park School,W8 7AF,Kensington and Chelsea,Secondary
149641,St John XXIII Catholic Primary School,W12 7QT,Hammersmith and Fulham,Primary
149901,Haggerston School,E2 8LS,Hackney,Secondary
150082,St Augustine's RC Primary School,W6 8QE,Hammersmith and Fulham,Primary
150319,Prendergast School,SE4 1LE,Lewisham,Secondary
150522,Pooles Park Primary School,N4 3NW,Islington,Primary
150550,St Monica's Catholic Primary School,N1 6QN,Hackney,Primary
150551,St Anthony's Catholic Primary School,SE22 0LA,Southwark,Primary
150552,Our Lady and St Philip Neri Catholic Primary School,SE26 5SE,Lewisham,Primary
150554,St Anne's and Guardian Angels Catholic Primary School,E1 5AW,Tower Hamlets,Primary
150596,St Elizabeth Catholic Primary School,E2 9JY,Tower Hamlets,Primary
150604,Cardinal Pole Catholic School,E9 6LG,Hackney,Secondary
150605,Bonus Pastor Catholic College,BR1 5PZ,Lewisham,Secondary
150606,Bishop Challoner Catholic School,E1 0LB,Tower Hamlets,Secondary
150662,Columbia Primary School,E2 7RG,Tower Hamlets,Primary
150664,St Michael's Catholic Primary School,E6 6EE,Newham,Primary
150691,Conisborough College,SE6 2SE,Lewisham,Secondary
150830,Loughborough Primary School,SW9 7UA,Lambeth,Primary
150889,"London Nautical, City of London Academy",SE1 9NA,Lambeth,Secondary
150937,St Michael's Catholic College,SE16 4UN,Southwark,Secondary
151008,St. Thomas More Language College,SW3 2QS,Kensington and Chelsea,Secondary
151009,St James's Hatcham Church of England Primary School,SE14 6AD,Lewisham,Primary
151010,St Michael's Church of England Primary School,SE26 4HH,Lewisham,Primary
151011,St Stephen's CofE Primary School,SE8 4ED,Lewisham,Primary
151012,St Joseph's Catholic Primary School,SE16 2TY,Southwark,Primary
151013,Hermitage Primary School,E1W 2PT,Tower Hamlets,Primary
151310,Millbank Gardens Primary Academy,SW1P 4HR,Westminster,Primary
151500,St George's Cathedral Catholic Primary School,SE1 6HR,Southwark,Primary
151527,Fircroft Primary School,SW17 7PP,Wandsworth,Primary
151731,Our Lady of Victories RC Primary School,SW7 5AQ,Kensington and Chelsea,Primary
151832,Virginia Primary School,E2 7NQ,Tower Hamlets,Primary
151990,St Aloysius' College,N6 5LY,Islington,Secondary
152267,"Plashet, City of London Academy",E6 1DG,Newham,Secondary
152286,St Mary's Priory Catholic Junior School,N15 5RE,Haringey,Primary
152287,St Mary's Priory Catholic Infant School,N15 5RE,Haringey,Primary
152337,Lift Beacon High,N7 0JG,Islington,Secondary
152443,St Vincent De Paul Catholic Primary School,SW1P 1EP,Westminster,Primary
